epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.111,1.09744,2.21916,1.48332,0.35171,0.46179,0.342,0.20273,1.5551,2.77551,2.10023,0.00033156,0.00033156,0.00033156
2,226.485,1.24148,1.91046,1.58867,0.4808,0.33573,0.36239,0.201,1.5738,2.54569,2.15451,0.000658311,0.000658311,0.000658311
3,338.312,1.25861,1.86043,1.60285,0.22379,0.29258,0.20363,0.10895,1.86856,3.1739,2.54154,0.000978462,0.000978462,0.000978462
4,449.234,1.22492,1.8017,1.57533,0.44746,0.55932,0.47437,0.30292,1.30888,2.02967,1.79099,0.0009703,0.0009703,0.0009703
5,566.084,1.13473,1.64261,1.50686,0.6054,0.54983,0.55524,0.41009,1.17156,1.79844,1.66625,0.0009604,0.0009604,0.0009604
6,680.719,1.08546,1.52886,1.46157,0.56482,0.56032,0.58218,0.40374,1.23544,1.7639,1.78853,0.0009505,0.0009505,0.0009505
7,791.9,1.06355,1.4662,1.44576,0.68188,0.64567,0.68328,0.53516,1.05573,1.56339,1.56076,0.0009406,0.0009406,0.0009406
8,908.764,0.99253,1.36592,1.39699,0.3406,0.40289,0.36311,0.2577,1.65489,3.18264,2.8675,0.0009307,0.0009307,0.0009307
9,1019.78,0.97203,1.27497,1.3894,0.47744,0.50154,0.51333,0.37793,1.14887,1.97241,1.62653,0.0009208,0.0009208,0.0009208
10,1135.42,0.96979,1.25049,1.37599,0.69624,0.64938,0.67026,0.54313,0.96273,1.35276,1.46767,0.0009109,0.0009109,0.0009109
11,1250.74,0.93793,1.20358,1.35768,0.57348,0.67206,0.6387,0.48547,1.01895,1.46505,1.48932,0.000901,0.000901,0.000901
12,1361.79,0.94909,1.16411,1.35588,0.6089,0.53099,0.58647,0.43308,1.11804,1.65782,1.62547,0.0008911,0.0008911,0.0008911
13,1472.64,0.94313,1.14546,1.34702,0.65879,0.64173,0.65305,0.53103,0.92371,1.39093,1.39319,0.0008812,0.0008812,0.0008812
14,1583.82,0.91074,1.09172,1.3399,0.7023,0.67969,0.70889,0.5663,0.92303,1.28638,1.42353,0.0008713,0.0008713,0.0008713
15,1701.79,0.89304,1.0626,1.32126,0.69206,0.66205,0.68841,0.53105,0.99287,1.35244,1.47488,0.0008614,0.0008614,0.0008614
